file_path,filename,local_title,local_orchestra,tt_url,tt_id,tt_title,genre,composition_year,composer,lyricist,version_vocal,version_formation,version_orchestra,recording_date,recording_year,recording_city,recording_label,recording_catalog,version_duration,match_confidence,match_status
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Cardo Azul.mp3,17 Cardo Azul.mp3,Cardo Azul,Angel D'Agostino (Angel Vargas),,,,,,,,,,,,,,,,,0.0,not_found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Cero Al As.mp3,17 Cero Al As.mp3,Cero Al As,Carlos Di Sarli (Alberto Podestá),https://www.todotango.com/musica/tema/4943/Cero-al-as/,4943.0,Cero al as,Tango,1944.0,Arturo Gallucci,Francisco Bohigas,Alberto Podestá,Orquesta,Carlos Di Sarli,13-4-1944,1944.0,Buenos Aires,RCA-Victor,60-0409 79626,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Como El Hornero.mp3,17 Como El Hornero.mp3,Como El Hornero,Angel D'Agostino (Angel Vargas),https://www.todotango.com/musica/tema/2226/Como-el-hornero/,2226.0,Como el hornero,Tango,1944.0,Manuel Sucher,José Rótulo,Ángel Vargas,Orquesta,Ángel D'Agostino,5-4-1944,1944.0,Buenos Aires,RCA-Victor,60-0404 79617,,0.938,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Cosas Olvidadas.mp3,17 Cosas Olvidadas.mp3,Cosas Olvidadas,Roberto Firpo (Instrumental),https://www.todotango.com/musica/tema/1169/Cosas-olvidadas/,1169.0,Cosas olvidadas,Tango,1940.0,Antonio Rodio,José María Contursi,Héctor Mauré,Orquesta,Leopoldo Federico,,1973.0,Buenos Aires,1973,Music Hall 2415,,0.4,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 De Floreo.mp3,17 De Floreo.mp3,De Floreo,Osvaldo Pugliese (Instrumental),https://www.todotango.com/musica/tema/1437/De-floreo/,1437.0,De floreo,Tango,,Julio Carrasco,,Instrumental,Orquesta,Osvaldo Pugliese,29-3-1950,1950.0,Buenos Aires,Odeon,30610 17601,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 El Chupete.mp3,17 El Chupete.mp3,El Chupete,Juan D'Arienzo (Instrumental),https://www.todotango.com/musica/tema/4690/El-chupete/,4690.0,El chupete,Tango,,Ricardo Gaudenzio,Antonio Polito,Instrumental,Orquesta,Lucio Demare,9-10-1942,1942.0,Buenos Aires,Odeon,8058 12288,,0.462,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 El Entrerriano.mp3,17 El Entrerriano.mp3,El Entrerriano,Alfredo De Angelis (Instrumental),https://www.todotango.com/musica/tema/559/El-entrerriano/,559.0,El entrerriano,Tango,,Rosendo Mendizábal,,Instrumental,Orquesta,Alfredo De Angelis,7-1-1946,1946.0,Buenos Aires,Odeon,3792-B 15259,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 El Recodo.mp3,17 El Recodo.mp3,El Recodo,Rodolfo Biagi (Instrumental),https://www.todotango.com/musica/tema/813/El-recodo/,813.0,El recodo,Tango,1930.0,Alejandro Junnissi,Armando Tagini,Instrumental,Orquesta,Rodolfo Biagi,5-11-1952,1952.0,Buenos Aires,Odeon,55426 18691,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 El Trece.mp3,17 El Trece.mp3,El Trece,Rodolfo Biagi (Instrumental),,,,,,,,,,,,,,,,,0.0,not_found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 En Un Beso La Vida.mp3,17 En Un Beso La Vida.mp3,En Un Beso La Vida,Carlos Di Sarli (Roberto Rufino),https://www.todotango.com/musica/tema/700/En-un-beso-la-vida/,700.0,En un beso la vida,Tango,1940.0,Carlos Di Sarli,Héctor Marcó,Roberto Rufino,Orquesta,Carlos Di Sarli,23-9-1940,1940.0,Buenos Aires,RCA-Victor,39086 39510,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Entrador.mp3,17 Entrador.mp3,Entrador,Osvaldo Pugliese (Instrumental),https://www.todotango.com/musica/tema/1480/Entrador/,1480.0,Entrador,Tango,,Mario Demarco,,Instrumental,Orquesta,Osvaldo Pugliese,6-5-1952,1952.0,Buenos Aires,Odeon,55391 18381,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Golgota.mp3,17 Golgota.mp3,Golgota,Francisco Lomuto (Jorge Omar),https://www.todotango.com/musica/tema/132/Golgota/,132.0,Gólgota,Tango,1938.0,Rodolfo Biagi,Francisco Gorrindo,Teófilo Ibáñez,Orquesta,Rodolfo Biagi,19-8-1938,1938.0,Buenos Aires,Odeon,5600 9585,,0.207,ambiguous
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Inspiracion.mp3,17 Inspiracion.mp3,Inspiracion,Miguel Caló (Instrumental),https://www.todotango.com/musica/tema/269/Inspiracion/,269.0,Inspiración,Tango,1929.0,Peregrino Paulos,Luis Rubistein,Instrumental,Orquesta,Miguel Caló,20-1-1943,1943.0,Buenos Aires,Odeon,8373 12497,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 La Clavada.mp3,17 La Clavada.mp3,La Clavada,Horacio Salgan (Instrumental),https://www.todotango.com/musica/tema/5540/La-clavada/,5540.0,La clavada,Tango,,Ernesto Zambonini,,,,,,,,,,,0.0,ambiguous
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 La Guitarrita.mp3,17 La Guitarrita.mp3,La Guitarrita,Juan D'Arienzo (Instrumental),https://www.todotango.com/musica/tema/1507/La-guitarrita/,1507.0,La guitarrita,Tango,,Eduardo Arolas,Gabriel Clausi,Instrumental,Sexteto,Carlos Di Sarli,26-11-1928,1928.0,Buenos Aires,RCA-Victor,47003 44387,,0.414,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Lejos De Buenos Aires.mp3,17 Lejos De Buenos Aires.mp3,Lejos De Buenos Aires,Anibal Troilo (Francisco Fiorentino),https://www.todotango.com/musica/tema/1806/Lejos-de-Buenos-Aires/,1806.0,Lejos de Buenos Aires,Tango,1942.0,Alberto Suárez Villanueva,Oscar Rubens,Francisco Fiorentino,Orquesta,Aníbal Troilo,1-9-1942,1942.0,Buenos Aires,RCA-Victor,39699 69908,,0.923,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Lo Mismo Que Antes.mp3,17 Lo Mismo Que Antes.mp3,Lo Mismo Que Antes,Carlos Di Sarli (Roberto Rufino),https://www.todotango.com/musica/tema/4200/Lo-mismo-que-antes/,4200.0,Lo mismo que antes,Tango,,Ciriaco Ortiz,José María Contursi,Roberto Rufino,Orquesta,Carlos Di Sarli,26-12-1941,1941.0,Buenos Aires,RCA-Victor,39520 59966,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Loca.mp3,17 Loca.mp3,Loca,Juan D'Arienzo (Instrumental),https://www.todotango.com/musica/tema/1216/Loca/,1216.0,Loca,Tango,1922.0,Manuel Jovés,Antonio Viergol,María de la Fuente,Orquesta,Juan Canaro,4-10-1954,1954.0,,Tokio,Melopea CDMSE 5108,,0.64,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Mala Junta.mp3,17 Mala Junta.mp3,Mala Junta,Julio De Caro (Instrumental),https://www.todotango.com/musica/tema/423/Mala-junta/,423.0,Mala junta,Tango,,Julio De Caro,Juan Velich,Instrumental,Orquesta,Julio De Caro,13-9-1927,1927.0,Buenos Aires,RCA-Victor,79925 1422,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Me Estan Sobrando Las Penas.mp3,17 Me Estan Sobrando Las Penas.mp3,Me Estan Sobrando Las Penas,Anibal Troilo (Alberto Marino),https://www.todotango.com/musica/tema/767/Me-estan-sobrando-las-penas/,767.0,Me están sobrando las penas,Tango,1944.0,José Basso,Carlos Bahr,Alberto Marino,Orquesta,Aníbal Troilo,1-8-1944,1944.0,Buenos Aires,RCA-Victor,60-0519 79796,,0.923,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Nieblas Del Riachuelo.mp3,17 Nieblas Del Riachuelo.mp3,Nieblas Del Riachuelo,Osvaldo Fresedo (Roberto Ray),,,,,,,,,,,,,,,,,0.0,not_found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 No Quiero Verte Llorar.mp3,17 No Quiero Verte Llorar.mp3,No Quiero Verte Llorar,Osvaldo Fresedo (Roberto Ray),https://www.todotango.com/musica/tema/712/No-quiero-verte-llorar/,712.0,No quiero verte llorar,Tango,1937.0,Agustín Magaldi,Rodolfo Sciammarella,Roberto Ray,Orquesta,Osvaldo Fresedo,12-5-1937,1937.0,Buenos Aires,RCA-Victor,38182 93722,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Orgullo Criollo.mp3,17 Orgullo Criollo.mp3,Orgullo Criollo,Astor Piazzolla (Instrumental),https://www.todotango.com/musica/tema/1572/Orgullo-criollo/,1572.0,Orgullo criollo,Tango,,Julio De Caro,,Instrumental,Orquesta,Osvaldo Pugliese,21-6-1956,1956.0,Buenos Aires,Odeon,51961 21094,,0.323,ambiguous
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Poncho Del Olvido.mp3,17 Poncho Del Olvido.mp3,Poncho Del Olvido,Angel D'Agostino (Angel Vargas),,,,,,,,,,,,,,,,,0.0,not_found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Puente Alsina.mp3,17 Puente Alsina.mp3,Puente Alsina,Osvaldo Pugliese (Jorge Vidal),https://www.todotango.com/musica/tema/667/Puente-Alsina/,667.0,Puente Alsina,Tango,,Benjamín Tagle Lara,Benjamín Tagle Lara,Jorge Vidal,Orquesta,Osvaldo Pugliese,22-8-1949,1949.0,Buenos Aires,Odeon,30605 17396,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Que Solo Estoy.mp3,17 Que Solo Estoy.mp3,Que Solo Estoy,Carlos Di Sarli (Alberto Podestá),https://www.todotango.com/musica/tema/1610/Que-solo-estoy/,1610.0,Qué solo estoy,Tango,1944.0,Raúl Kaplún,Roberto Miró,Alberto Podestá,Orquesta,Carlos Di Sarli,13-4-1944,1944.0,Buenos Aires,RCA-Victor,60-0469 79627,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Remolino.mp3,17 Remolino.mp3,Remolino,Alfredo De Angelis (Carlos Dante-Julio Martel),https://www.todotango.com/musica/tema/1662/Remolino/,1662.0,Remolino,Tango,1946.0,Alfredo De Angelis,José Rótulo,Carlos Dante Julio Martel,Orquesta,Alfredo De Angelis,24-5-1946,1946.0,Buenos Aires,Odeon,3796-A 15531,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Seguime Si Podes.mp3,17 Seguime Si Podes.mp3,Seguime Si Podes,Juan D'Arienzo (Instrumental),https://www.todotango.com/musica/tema/1619/Seguime-si-podes/,1619.0,Seguime si podés,Tango,,Alejandro Scarpino,Antonio Anselmi,Instrumental,Orquesta,Osvaldo Pugliese,6-10-1953,1953.0,Buenos Aires,Odeon,55790 19166,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Sentimiento Criollo.mp3,17 Sentimiento Criollo.mp3,Sentimiento Criollo,Carlos Di Sarli (Instrumental),https://www.todotango.com/musica/tema/5564/Sentimiento-criollo/,5564.0,Sentimiento criollo,Tango,,Roberto Firpo,Domingo Lombardi,Instrumental,Orquesta,Carlos Di Sarli,2-8-1941,1941.0,Buenos Aires,RCA-Victor,39368 59687,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Tierra Querida.mp3,17 Tierra Querida.mp3,Tierra Querida,Sexteto De Caro (Instrumental),https://www.todotango.com/musica/tema/1639/Tierra-querida/,1639.0,Tierra querida,Tango,,Julio De Caro,Luis Díaz,Instrumental,Orquesta,Julio De Caro,12-9-1927,1927.0,Buenos Aires,RCA-Victor,79924 1420,,0.643,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\17 Tigre Viejo.mp3,17 Tigre Viejo.mp3,Tigre Viejo,Osvaldo Fresedo (instrumental),https://www.todotango.com/musica/tema/1763/Tigre-viejo/,1763.0,Tigre viejo,Tango,,Salvador Grupillo,,Instrumental,Orquesta,Osvaldo Fresedo,16-8-1934,1934.0,Buenos Aires,Victor,37632 86574,,1.0,found
