album,filename,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_9_mean,delta_mfcc_9_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_13_mean,delta_mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,spectral_contrast_1_mean,spectral_contrast_1_std,spectral_contrast_2_mean,spectral_contrast_2_std,spectral_contrast_3_mean,spectral_contrast_3_std,spectral_contrast_4_mean,spectral_contrast_4_std,spectral_contrast_5_mean,spectral_contrast_5_std,spectral_contrast_6_mean,spectral_contrast_6_std,spectral_contrast_7_mean,spectral_contrast_7_std,spectral_bandwidth_mean,spectral_bandwidth_std,rms_mean,rms_std,onset_strength_mean,onset_strength_std,tempogram_global_mean,tempogram_global_std,tempogram_max_bin_strength,harmonic_energy,percussive_energy,harmonic_to_percussive_ratio,harmonic_energy_ratio,percussive_energy_ratio
Vol-01 La Fiesta De Buenos Aires,13 Alma Dolorida.mp3,-271.2255859375,90.9290771484375,156.46585083007812,41.25752258300781,-20.12993812561035,38.607749938964844,31.776885986328125,21.093795776367188,22.532724380493164,15.130294799804688,-7.723114967346191,15.097738265991211,1.4606071710586548,11.13546371459961,-2.409085988998413,12.501802444458008,-7.8582892417907715,12.76124095916748,-4.269922256469727,12.008319854736328,1.8983328342437744,10.622535705566406,2.2623374462127686,11.251014709472656,0.6911055445671082,11.76330280303955,-1.4138028525678692e-08,10.85958194732666,-1.2852753306091813e-09,4.025280475616455,1.445934816324268e-09,4.745941162109375,-1.445934816324268e-09,2.637155532836914,-3.2131883265229533e-10,2.1646463871002197,1.6065941632614766e-10,2.0951461791992188,-5.623079779581985e-10,1.6052374839782715,8.032970955085261e-10,1.7330785989761353,8.032970955085261e-10,1.7003041505813599,1.3656050734667247e-09,1.5897547006607056,8.032970955085261e-10,1.455666184425354,-5.221431065294269e-10,1.4791946411132812,6.426376653045907e-10,1.5067349672317505,0.43688684701919556,0.34871649742126465,0.3323802053928375,0.29397472739219666,0.20940746366977692,0.2007332593202591,0.2223883718252182,0.21573692560195923,0.3624660074710846,0.3076057434082031,0.49114134907722473,0.36494511365890503,0.339679479598999,0.25513386726379395,0.4092296063899994,0.3299609124660492,0.39848974347114563,0.3187731206417084,0.2895579934120178,0.28104886412620544,0.2678465247154236,0.2653980553150177,0.27872270345687866,0.22997556626796722,18.875499140388442,6.700287291993727,14.539851111864348,4.667703167508493,20.729411996325002,4.593662467197453,23.22199956975967,4.714180342199726,23.005736388916283,4.384443145099214,22.697599301205255,4.5258204130108215,48.44634688351565,8.167133794824217,1735.4146960601374,523.7949420414775,0.09714742749929428,0.05392460152506828,1.0112342834472656,0.8843895792961121,0.19988164618406312,0.23582165408169925,0.9810478436657682,54230.07421875,6715.14208984375,8.075789535528926,0.8898167486051426,0.11018325139485743
Vol-01 La Fiesta De Buenos Aires,14 Pasión.mp3,-301.6718444824219,82.5222396850586,183.0579833984375,45.1380500793457,-24.320640563964844,34.81911087036133,13.122786521911621,16.369388580322266,23.299264907836914,13.04228687286377,-15.459983825683594,13.083907127380371,-10.968819618225098,10.90318775177002,-7.922496318817139,10.587170600891113,-9.541839599609375,10.16718578338623,-7.339869976043701,9.698502540588379,-2.796182870864868,9.292101860046387,1.1167203187942505,10.01305103302002,-3.709873676300049,11.374366760253906,4.407188836097475e-09,8.323528289794922,2.2035944180487377e-09,4.164521217346191,8.26347879012701e-10,4.090585708618164,-1.4461087882722268e-09,1.883122444152832,1.377246511280461e-10,1.5895053148269653,6.886232140068671e-10,1.7424376010894775,1.308384178777544e-09,1.458710789680481,4.131739395063505e-10,1.3659605979919434,1.377246511280461e-10,1.3794482946395874,0.0,1.2971750497817993,3.4431160700343355e-10,1.247717022895813,-1.377246511280461e-10,1.2790364027023315,6.197609092595258e-10,1.3066798448562622,0.32231900095939636,0.30263665318489075,0.2370806634426117,0.2543688416481018,0.2538236677646637,0.27007099986076355,0.3037315309047699,0.2840929925441742,0.3461630940437317,0.34567973017692566,0.2771050035953522,0.25021716952323914,0.42048677802085876,0.3350147604942322,0.46279558539390564,0.3435247838497162,0.27967754006385803,0.24242331087589264,0.2708359956741333,0.2910570502281189,0.2959361672401428,0.24451522529125214,0.3940652310848236,0.344294935464859,17.18399579557269,6.296486769909027,12.4324069498156,4.1266328316507215,18.373433726349493,4.623244731298291,22.518461674321156,5.019084671422773,22.064620555679248,4.5806172423900104,24.658941975340017,5.477685871477862,47.05287020347242,7.878394817007129,1302.6756983764633,367.23607841132,0.07484721392393112,0.04579012468457222,0.9678518772125244,0.7448106408119202,0.22104820674348472,0.2551341281568245,0.9850530724240018,39017.890625,4434.32275390625,8.799064206733409,0.8979494389563392,0.10205056104366088
Vol-03 La Fiesta De Buenos Aires,11 Desde El Alma.mp3,-279.2384948730469,73.08694458007812,191.8991241455078,43.256404876708984,-5.440242290496826,31.471094131469727,-4.148430347442627,13.894243240356445,8.246265411376953,9.848901748657227,-6.503814697265625,11.375028610229492,4.857438564300537,9.997307777404785,-2.5298550128936768,9.301959037780762,-12.039613723754883,9.52320384979248,-6.830312728881836,10.513800621032715,-7.174315929412842,9.58444881439209,-2.9512321949005127,9.35644245147705,-4.2668890953063965,9.951059341430664,-7.838586668640346e-09,6.002054691314697,-3.4293816675301514e-09,3.0274224281311035,0.0,3.554253101348877,-6.12389583487527e-10,1.861366629600525,-8.573454168825378e-10,1.2532007694244385,0.0,1.5813298225402832,-5.511506251387743e-10,1.238135576248169,4.286727084412689e-10,1.2251933813095093,-3.061947917437635e-10,1.1758692264556885,-6.12389583487527e-10,1.1983025074005127,-1.5309740142299688e-09,1.1652874946594238,7.348675001850324e-10,1.1523690223693848,6.12389583487527e-10,1.2453198432922363,0.2726278007030487,0.2519039213657379,0.3416405916213989,0.334426611661911,0.31172195076942444,0.3200801610946655,0.172899067401886,0.18990613520145416,0.19646187126636505,0.27447816729545593,0.24858009815216064,0.21411173045635223,0.48332449793815613,0.3848194479942322,0.28783291578292847,0.27092570066452026,0.1917981207370758,0.2244323492050171,0.20550911128520966,0.26622119545936584,0.2444896101951599,0.23971977829933167,0.36348289251327515,0.3716510236263275,14.215668398647749,5.398298972265474,12.367774697414402,4.190643519062459,17.94590681956752,4.642941880044562,21.39413639625826,4.668349587557974,23.653282596566893,4.513019430729939,25.752632284496723,5.456040151152779,46.147288978677544,7.349121158054226,1123.5978666714327,304.3327302175764,0.0949782282114029,0.053992241621017456,0.9084922671318054,0.6242160201072693,0.23760890980895574,0.26900629348930033,0.9858087715918578,72962.84375,5351.30517578125,13.634588451470249,0.9316687310124163,0.06833126898758372
Vol-03 La Fiesta De Buenos Aires,13 Francia.mp3,-316.35687255859375,73.45748138427734,160.26878356933594,49.510379791259766,13.451912879943848,33.64897155761719,10.074174880981445,17.92822265625,28.063627243041992,16.657379150390625,7.736511707305908,16.384645462036133,4.725543022155762,14.015462875366211,6.706493377685547,12.749932289123535,-4.187771797180176,11.729304313659668,-10.190511703491211,13.67452621459961,-4.320948600769043,14.243042945861816,5.680394649505615,14.51550579071045,2.332942485809326,13.15655517578125,-6.528755314150203e-09,6.308725833892822,-2.1762518453982693e-09,4.119067192077637,5.440629613495673e-10,3.551894426345825,2.7203148067478367e-10,2.2741706371307373,0.0,1.866811752319336,-6.120707829460059e-10,1.758671760559082,7.480865371611856e-10,1.6773449182510376,-2.0402360356719385e-10,1.5437424182891846,-9.52110168483955e-10,1.510301947593689,8.841022913763652e-10,1.5484123229980469,-6.800786600535957e-10,1.4869657754898071,0.0,1.4289965629577637,1.3601573201071915e-09,1.4624534845352173,0.2131185382604599,0.2738431692123413,0.27057239413261414,0.2580587565898895,0.3883662223815918,0.3745363652706146,0.27344974875450134,0.24694320559501648,0.3131309747695923,0.30339887738227844,0.327085942029953,0.3255074620246887,0.24052098393440247,0.2332324981689453,0.21922501921653748,0.25536614656448364,0.2644464373588562,0.2292037010192871,0.4879942238330841,0.3955039978027344,0.30834367871284485,0.2876421809196472,0.21045880019664764,0.23933830857276917,19.97891002819721,6.2711824328948165,14.642516888435521,5.288182817382002,22.93201698960121,5.339279095308301,26.57031660231843,5.668399043519794,27.55106113793203,5.9776219332377805,29.98202366415773,7.880749288360387,43.806114816195155,7.253784325172574,1226.1652948692765,398.10951369139246,0.10254476964473724,0.0698341578245163,0.774308979511261,0.5800418853759766,0.22742785483127886,0.2625944334550785,0.9838836197675248,91114.25,4142.40869140625,21.995475769694966,0.9565131850275579,0.04348681497244208
Vol-03 La Fiesta De Buenos Aires,14 Maria Esther.mp3,-294.9327392578125,82.31698608398438,165.17941284179688,51.607059478759766,-3.904601573944092,32.91254806518555,11.25820255279541,17.859399795532227,21.6225528717041,15.453658103942871,-2.7909176349639893,15.629532814025879,8.887664794921875,11.333198547363281,5.603650093078613,11.147333145141602,-8.758628845214844,11.231088638305664,-7.10427188873291,11.654533386230469,-4.508830547332764,10.854414939880371,2.160121202468872,11.328343391418457,0.681687593460083,11.757270812988281,6.976509592249158e-09,7.416911602020264,-1.1627515617007589e-09,3.8799498081207275,-5.813757808503794e-10,4.1029486656188965,-2.906878904251897e-10,2.130920648574829,2.906878904251897e-10,1.7931567430496216,-5.813757808503794e-10,1.904072880744934,2.0348152052207524e-09,1.4853266477584839,7.267197399407621e-10,1.442779779434204,2.180159247577862e-10,1.4495244026184082,1.8894712461303698e-09,1.4841071367263794,2.180159247577862e-10,1.3837581872940063,-3.6335986997038106e-10,1.349229335784912,1.4534394521259486e-10,1.4236116409301758,0.3854410648345947,0.36101412773132324,0.3160085082054138,0.2597772181034088,0.3529316782951355,0.309253990650177,0.3413317799568176,0.3140808045864105,0.30035528540611267,0.27609556913375854,0.36290696263313293,0.33970823884010315,0.3962208032608032,0.2821478247642517,0.5249951481819153,0.36329740285873413,0.3590794801712036,0.27627789974212646,0.2922654151916504,0.2695537507534027,0.35090380907058716,0.31600916385650635,0.34338417649269104,0.2875382602214813,20.536528498409716,6.621648972997563,13.873316527443718,5.098473590814297,19.851121459153497,5.203643128538397,22.180113350949256,5.177004826356072,23.2140952305556,4.868794379760269,24.87939654058447,5.436697047011491,46.02054131831611,7.368063107964948,1332.1719899848142,478.03186986532353,0.10622695088386536,0.07720022648572922,0.8360381722450256,0.6702209115028381,0.21921521614345946,0.25513277281092633,0.9896365160405395,95545.4765625,4274.49169921875,22.35247680559606,0.9571779897984797,0.04282201020152027
Vol-04 La Fiesta De Buenos Aires,11 La Pulpera De Santa Lucia.mp3,-274.08636474609375,81.48551177978516,183.3358917236328,42.40958786010742,-19.851890563964844,39.68174362182617,8.431886672973633,16.698375701904297,16.588098526000977,16.6542911529541,-0.7932743430137634,15.520676612854004,1.2620285749435425,11.81155014038086,-8.159402847290039,12.038249015808105,-9.38430118560791,10.485157012939453,-14.098152160644531,9.862030029296875,-13.937498092651367,10.889349937438965,1.0987530946731567,9.19357967376709,-9.137529373168945,10.556267738342285,-1.841292118776039e-09,7.15675687789917,-2.7619384557198146e-09,3.322052240371704,-2.301615342759078e-09,3.7348906993865967,-5.754038356897695e-10,2.183990240097046,0.0,1.753809928894043,-9.781865317748384e-10,1.6885486841201782,-7.480249752944701e-10,1.5380523204803467,-5.754038356897695e-10,1.4756205081939697,1.265888394108572e-09,1.34465754032135,9.206461148991707e-10,1.2658179998397827,8.055653921701378e-10,1.2977805137634277,8.055653921701378e-10,1.3541771173477173,-1.1508076436239634e-10,1.2790108919143677,0.3571534752845764,0.2842026948928833,0.3617766201496124,0.32301363348960876,0.33382588624954224,0.30756622552871704,0.27996140718460083,0.2640698552131653,0.2989828586578369,0.3096155822277069,0.29247087240219116,0.2588096857070923,0.40130341053009033,0.3264346122741699,0.3610880672931671,0.31302496790885925,0.2942892611026764,0.2768966257572174,0.2999396026134491,0.2948211431503296,0.34035271406173706,0.2832660973072052,0.4217737019062042,0.347539484500885,18.299385215178187,5.792485853334088,12.735658106823019,4.181339571110369,17.864862306646582,4.44298894029641,20.1374508090653,4.612332492206136,21.78946569974299,4.341892243983442,23.48478209637849,4.765609852981947,49.77085039310418,7.640004184319993,1714.158740908979,547.5330735993824,0.09706917405128479,0.05490037053823471,1.0368409156799316,0.721356213092804,0.23713015980036975,0.2720000259680761,0.9865451912634247,77476.671875,8004.1318359375,9.679584677396232,0.9063633998692346,0.09363660013076539
Vol-04 La Fiesta De Buenos Aires,13 Idilio Trunco.mp3,-285.8824157714844,70.5281753540039,204.77157592773438,47.21297073364258,-9.837379455566406,32.68524932861328,-18.135038375854492,18.45382308959961,19.348054885864258,15.350373268127441,4.54601526260376,15.030522346496582,-0.5022169947624207,13.329241752624512,2.136716604232788,10.58583927154541,-5.410900592803955,10.86000919342041,-13.335741996765137,10.445343971252441,-8.948882102966309,10.281190872192383,2.691218852996826,8.649151802062988,-3.1397032737731934,8.420329093933105,8.18019429971173e-09,6.576516628265381,0.0,3.2197868824005127,-1.7042071087658428e-09,4.3037872314453125,2.0450485749279323e-09,2.2938225269317627,1.1929449650338597e-09,1.858573317527771,-8.521035960162848e-11,1.910538911819458,-3.4084143840651393e-10,1.646417498588562,7.668932155979746e-10,1.4456232786178589,-3.4084143840651393e-10,1.4690479040145874,-5.112621437319831e-10,1.3823786973953247,-1.7042071920325697e-10,1.3964793682098389,2.130258858201728e-09,1.279336929321289,-4.260517980081424e-11,1.2758989334106445,0.3279457986354828,0.3116438388824463,0.35331660509109497,0.3260051906108856,0.2840975522994995,0.25106939673423767,0.33746597170829773,0.3159743845462799,0.3467792868614197,0.3243143856525421,0.2660720646381378,0.2602420747280121,0.3082912266254425,0.30064961314201355,0.3294694423675537,0.2768101692199707,0.4577852189540863,0.35892364382743835,0.3535764217376709,0.3115018308162689,0.2521216571331024,0.2454032599925995,0.2676820755004883,0.27476465702056885,18.02220937934027,6.046823409991459,12.622280967771944,4.2652299534739395,17.222259010577158,4.482001029446508,20.28270798637689,4.771704249574456,23.35406757343936,5.07644712228032,27.272261637239446,5.679385777218862,43.200816715793785,8.004910021222017,1062.8477682028963,303.25890930650974,0.10189849883317947,0.055211421102285385,0.9746270775794983,0.6892328262329102,0.23043568746234294,0.26287952562355654,0.9799857040743388,50552.984375,9169.130859375,5.513388907882363,0.8464700919685877,0.15352990803141228
Vol-04 La Fiesta De Buenos Aires,14 Luna De Arrabal.mp3,-313.4256591796875,75.0601806640625,189.33950805664062,49.89481735229492,-7.142926216125488,37.75261306762695,-28.29878044128418,20.55240821838379,15.487081527709961,16.82918930053711,3.681793689727783,16.144224166870117,-9.036130905151367,13.344034194946289,-3.111762523651123,12.18393611907959,-13.197875022888184,13.440348625183105,-21.103382110595703,13.416762351989746,-10.767351150512695,12.781627655029297,-4.171853065490723,10.723784446716309,-8.4898099899292,11.098567962646484,-3.5351959137841504e-09,5.747199058532715,5.302793759653923e-09,3.615745782852173,-1.3256984399134808e-09,3.426804304122925,6.628492199567404e-10,2.2611570358276367,-4.971369427231309e-10,1.8719755411148071,-3.314246099783702e-10,1.7793171405792236,2.761871842338337e-10,1.6013516187667847,-5.523743684676674e-10,1.4162956476211548,-1.4914107726582415e-09,1.5165103673934937,3.314246099783702e-10,1.443501591682434,5.523743684676674e-10,1.4544625282287598,1.5466481428916268e-09,1.3673971891403198,-1.104748723057547e-10,1.3679978847503662,0.23135808110237122,0.27140679955482483,0.1876101940870285,0.23711395263671875,0.20475928485393524,0.23149532079696655,0.3155093789100647,0.32656753063201904,0.3315679430961609,0.32254454493522644,0.25853705406188965,0.25553449988365173,0.3440374732017517,0.3333590030670166,0.346998929977417,0.3069203794002533,0.3567429184913635,0.3398136496543884,0.29035040736198425,0.3148307502269745,0.2508329451084137,0.24817824363708496,0.3057994246482849,0.3307189643383026,20.510340610195318,6.369308253125961,13.815934469890049,4.819292486804927,20.172708483782575,5.055410844169769,23.01541285229998,5.248547607976743,25.737328597650503,5.476730540272906,33.585531265957506,6.989843301417828,36.36626433529533,5.523312804043202,862.961645137519,285.05284114733274,0.09201040118932724,0.06257255375385284,0.8322581052780151,0.5803473591804504,0.23772101845846566,0.2701363439888944,0.9885317115551694,80730.34375,9093.783203125,8.877531160216984,0.8987601270216562,0.10123987297834378
Vol-06 La Fiesta De Buenos Aires,11 No LLores Madre.mp3,-258.99212646484375,67.96563720703125,218.0912628173828,46.46733856201172,-16.571016311645508,30.08413314819336,-22.49364471435547,12.188008308410645,21.342784881591797,11.725462913513184,-11.452794075012207,10.93125057220459,-22.731311798095703,9.545722007751465,-3.580483913421631,8.175524711608887,-5.010624408721924,8.291375160217285,-8.001888275146484,8.758184432983398,-1.9221700429916382,8.659990310668945,-1.9392321109771729,7.881625175476074,-2.282975673675537,8.70177173614502,-1.2623088130325755e-09,4.75846004486084,1.2623088130325755e-09,2.330080986022949,2.209040506073734e-09,3.0924270153045654,0.0,1.4776607751846313,6.311544065162877e-10,1.2797160148620605,-3.1557720325814387e-10,1.4034616947174072,-6.311544065162877e-10,1.0991896390914917,-3.1557720325814387e-10,1.0661495923995972,7.889430081453597e-11,1.1553000211715698,-9.46731582018856e-10,1.1189910173416138,7.889430081453597e-11,1.0986002683639526,-1.18341447752357e-09,1.099070429801941,8.678373020210017e-10,1.0733420848846436,0.1581151783466339,0.20309662818908691,0.23122847080230713,0.26433759927749634,0.28567105531692505,0.2974095046520233,0.24391184747219086,0.23613512516021729,0.3534703552722931,0.32533010840415955,0.34104254841804504,0.3134104311466217,0.3136807680130005,0.2984040379524231,0.3433053493499756,0.327442467212677,0.2877920866012573,0.23750653862953186,0.4250336289405823,0.37197986245155334,0.29976755380630493,0.2878330647945404,0.18963968753814697,0.23976945877075195,16.805914451499433,5.793407485212963,11.687080366010871,3.900852673427184,16.234371054354593,3.9553993706709916,21.01608467098963,4.386355311335922,21.16836172810338,4.004987565627595,27.890299704091355,5.09908894989029,39.049028733997,6.252090765059218,945.2734431617409,279.4762634331704,0.12340211123228073,0.06006027013063431,0.8481012582778931,0.481078177690506,0.25865012567843076,0.2911138723539509,0.9816346790205163,81201.625,8342.2548828125,9.733774158267359,0.9068361244372017,0.09316387556279827
Vol-06 La Fiesta De Buenos Aires,12 Inolvidable.mp3,-262.26910400390625,64.39656066894531,215.39027404785156,47.10609817504883,-8.539326667785645,24.316171646118164,-32.13340377807617,10.458361625671387,20.141584396362305,11.873414993286133,-2.425281286239624,10.812204360961914,-26.454702377319336,10.5679292678833,-7.844842433929443,8.098532676696777,-1.4572340250015259,7.574375152587891,-7.216433048248291,8.901695251464844,-0.716166615486145,8.915885925292969,1.0617187023162842,7.993561744689941,-5.054474830627441,8.43493938446045,-2.5473771980699667e-09,4.7530598640441895,1.2736885990349833e-09,2.649113655090332,0.0,3.008992910385132,4.776332107603309e-10,1.12191641330719,-9.552664215206619e-10,1.5116890668869019,3.1842214975874583e-10,1.3724441528320312,9.552664215206619e-10,1.205301284790039,5.572387551389113e-10,1.0728946924209595,-1.1940830269008273e-10,1.0968602895736694,-4.776332107603309e-10,1.168296456336975,-7.16449843896072e-10,1.1366171836853027,3.1842214975874583e-10,1.0705446004867554,0.0,1.1186522245407104,0.2949397563934326,0.30017054080963135,0.19065287709236145,0.22422324120998383,0.19533362984657288,0.23776288330554962,0.30831074714660645,0.28673216700553894,0.4101777672767639,0.3675905466079712,0.2830830216407776,0.2606765627861023,0.3528081476688385,0.3203631639480591,0.4132108986377716,0.3420993983745575,0.27039042115211487,0.23769022524356842,0.2700202167034149,0.3129434883594513,0.22784550487995148,0.2217617779970169,0.3531220555305481,0.3313668370246887,14.616869295792917,5.449208319151365,12.291219659137116,3.850737690497831,15.880775440571432,3.8883262840777237,19.684198236647738,4.175499359484976,21.297756869390685,3.789134502307531,35.94397584579704,7.715932160473441,30.81498583463599,5.3122842192461,831.1157372622964,229.8538266362154,0.1156841367483139,0.06209351867437363,0.828315258026123,0.47812655568122864,0.2536657568817969,0.28520637122669656,0.9815525876460768,73379.9453125,7732.412109375,9.489916506588163,0.904670356587495,0.09532964341250504
