album,filename,duration,bpm,onset_rate,danceability,key,scale,key_strength,chords_changes_rate,chords_number_rate,hpcp_entropy,tuning_frequency,average_loudness,dynamic_complexity,spectral_centroid_mean,spectral_centroid_stdev,spectral_complexity_mean,spectral_energy_mean,spectral_rolloff_mean,spectral_flux_mean,dissonance_mean,zerocrossingrate_mean,mirex_mood_passionate_rousing_confident_boisterous_rowdy,mirex_mood_rollicking_cheerful_fun_sweet_amiable_good_natured,mirex_mood_literate_poignant_wistful_bittersweet_autumnal_brooding,mirex_mood_humorous_silly_campy_quirky_whimsical_witty_wry,mirex_mood_aggressive_fiery_tense_anxious_intense_volatile_visceral,jamendo_alternative,jamendo_ambient,jamendo_atmospheric,jamendo_chillout,jamendo_classical,jamendo_dance,jamendo_downtempo,jamendo_easylistening,jamendo_electronic,jamendo_experimental,jamendo_folk,jamendo_funk,jamendo_hiphop,jamendo_house,jamendo_indie,jamendo_instrumentalpop,jamendo_jazz,jamendo_lounge,jamendo_metal,jamendo_newage,jamendo_orchestral,jamendo_pop,jamendo_popfolk,jamendo_poprock,jamendo_reggae,jamendo_rock,jamendo_soundtrack,jamendo_techno,jamendo_trance,jamendo_triphop,jamendo_world,jamendo_acousticguitar,jamendo_bass,jamendo_computer,jamendo_drummachine,jamendo_drums,jamendo_electricguitar,jamendo_electricpiano,jamendo_guitar,jamendo_keyboard,jamendo_piano,jamendo_strings,jamendo_synthesizer,jamendo_violin,jamendo_voice,jamendo_emotional,jamendo_energetic,jamendo_film,jamendo_happy,jamendo_relaxing,is_danceable,mood_happy,mood_sad,mood_relaxed,mood_aggressive,mood_party,mood_acoustic,mood_electronic
Vol-01 La Fiesta De Buenos Aires,06 Bajo El Cono Azul.mp3,179.0171356201172,120.1773681640625,3.189276695251465,1.0716018676757812,G,major,0.6271684169769287,0.08298755437135696,0.0036307054106146097,1.51387357711792,447.43255615234375,0.5257808566093445,5.38676118850708,1312.7762451171875,1658.507568359375,10.951757431030273,0.01820315048098564,1668.2476806640625,0.05933975800871849,0.41451743245124817,0.0546073317527771,0.013215144164860249,0.3772929906845093,0.42498621344566345,0.17597901821136475,0.008526651188731194,0.022251181304454803,0.023720799013972282,0.0029063341207802296,0.008928106166422367,0.4773607850074768,0.004219990223646164,0.0014367917319759727,0.041618138551712036,0.0394725427031517,0.03712768107652664,0.20314456522464752,0.0029191591311246157,0.00972110964357853,0.002643379382789135,0.01135312020778656,0.014113537967205048,0.0382985919713974,0.008477882482111454,0.0020029935985803604,0.009087479673326015,0.07804854959249496,0.07900377362966537,0.03616686537861824,0.007605529855936766,0.00962440948933363,0.0334128737449646,0.0870116800069809,0.0027213834691792727,0.0010121171362698078,0.001974130515009165,0.1651984602212906,0.013802382163703442,0.024464940652251244,0.005799684673547745,0.003928924910724163,0.04216344282031059,0.013941588811576366,0.005127850919961929,0.018459726125001907,0.007499540224671364,0.10795865952968597,0.039387304335832596,0.016991091892123222,0.06274943798780441,0.034314047545194626,0.010931868106126785,0.012880164198577404,0.03499463573098183,0.02043933793902397,0.00971928145736456,0.04847189784049988,0.5240932703018188,0.7224494218826294,0.8832771182060242,0.010419538244605064,0.054461460560560226,0.6654388308525085,0.029803769662976265
Vol-01 La Fiesta De Buenos Aires,07 Dejame Asi.mp3,182.41305541992188,119.4993896484375,2.992968797683716,1.026935338973999,C,major,0.6370103359222412,0.061593279242515564,0.0033087299671024084,1.5806914567947388,433.9423828125,0.7983168959617615,4.386706352233887,1226.76806640625,1698.970703125,11.81557846069336,0.020793337374925613,1587.4337158203125,0.06148160994052887,0.4077806770801544,0.051809269934892654,0.01668776012957096,0.3028644025325775,0.3876437246799469,0.2829805612564087,0.009823690168559551,0.03651243820786476,0.03184029459953308,0.004018602892756462,0.010370667092502117,0.439069926738739,0.004066126886755228,0.001973572885617614,0.044038452208042145,0.05394618958234787,0.05907268449664116,0.15955418348312378,0.0029252879321575165,0.011142005212605,0.002825458999723196,0.014697777107357979,0.0185287743806839,0.04629651829600334,0.00991514790803194,0.0023960601538419724,0.00988991279155016,0.05916380509734154,0.08956017345190048,0.03885696083307266,0.008368081413209438,0.009453966282308102,0.028283584862947464,0.10030442476272583,0.0033335534390062094,0.0011133954394608736,0.0026649427600204945,0.1268271952867508,0.013105908408761024,0.02362043969333172,0.005673578940331936,0.0042836423963308334,0.038337599486112595,0.014629438519477844,0.005889358930289745,0.022577425464987755,0.009013427421450615,0.16082268953323364,0.02845022641122341,0.017207462340593338,0.04123309254646301,0.026925215497612953,0.01080163661390543,0.011179895140230656,0.02516091614961624,0.018899880349636078,0.009652458131313324,0.057715047150850296,0.4330820143222809,0.6908622980117798,0.85954350233078,0.00874867383390665,0.0700879693031311,0.6400144696235657,0.09267843514680862
Vol-01 La Fiesta De Buenos Aires,08 Como Se Muere De Amor.mp3,166.55673217773438,117.78470611572266,2.64756178855896,0.9340851902961731,E,minor,0.8257465362548828,0.06493868678808212,0.0036231884732842445,1.5426169633865356,438.47772216796875,0.46207430958747864,5.618955135345459,1305.4605712890625,1709.781982421875,11.412182807922363,0.01687178947031498,1712.5546875,0.0550796315073967,0.40274399518966675,0.05553753301501274,0.01927623525261879,0.30389100313186646,0.47628018260002136,0.1896219104528427,0.010930761694908142,0.031059186905622482,0.027853654697537422,0.004190325736999512,0.011700063943862915,0.43434616923332214,0.004809598904103041,0.0017768595134839416,0.04784746468067169,0.0473666749894619,0.04026872664690018,0.16564618051052094,0.0037181773222982883,0.009502301923930645,0.003125021932646632,0.019065115600824356,0.017618974670767784,0.05328300595283508,0.010176179930567741,0.0023993162903934717,0.010701351799070835,0.08547796308994293,0.10532635450363159,0.03712007403373718,0.010610545054078102,0.00867244228720665,0.04647983983159065,0.1117040142416954,0.0027984415646642447,0.0011375199537724257,0.0024568471126258373,0.10066112875938416,0.014428949914872646,0.03802168369293213,0.005763201043009758,0.004485371056944132,0.05249403044581413,0.02024134248495102,0.0068304832093417645,0.021584374830126762,0.00945246685296297,0.17501536011695862,0.042978234589099884,0.017835959792137146,0.04987391456961632,0.02707088179886341,0.013877036049962044,0.015619315207004547,0.0315718837082386,0.025274351239204407,0.010654004290699959,0.05024799704551697,0.35628199577331543,0.8573154211044312,0.9398880004882812,0.006681526079773903,0.09575578570365906,0.5445685982704163,0.020876450464129448
Vol-01 La Fiesta De Buenos Aires,09 Marioneta.mp3,166.08653259277344,119.79000854492188,3.317199945449829,0.9926120638847351,D,major,0.7282902002334595,0.08049189299345016,0.004751257598400116,1.603471040725708,439.4919738769531,0.4878899157047272,6.492592811584473,1030.3681640625,1804.8851318359375,8.78459644317627,0.016964169219136238,1403.77294921875,0.05115872994065285,0.3893231153488159,0.04448648914694786,0.014851151965558529,0.34563979506492615,0.4434733986854553,0.1883368194103241,0.007698926609009504,0.03181776776909828,0.025108937174081802,0.0033553726971149445,0.009164774790406227,0.441279798746109,0.004353046417236328,0.0016228808090090752,0.0381191112101078,0.04683314636349678,0.04395749047398567,0.21692755818367004,0.0031140490900725126,0.009461143054068089,0.002705581486225128,0.015050823800265789,0.01690411940217018,0.04696844518184662,0.009387891739606857,0.002031820360571146,0.00837849173694849,0.06325072795152664,0.09888952225446701,0.03949175402522087,0.009064444340765476,0.007952247746288776,0.03234315663576126,0.10102061927318573,0.0028290837071835995,0.0009911078959703445,0.002394063165411353,0.14093387126922607,0.0131867416203022,0.028110137209296227,0.005458682309836149,0.004197665024548769,0.04598569497466087,0.01641463115811348,0.006191485561430454,0.01986636035144329,0.007950878702104092,0.19077584147453308,0.03430567681789398,0.013835196383297443,0.04815737158060074,0.024897491559386253,0.011206034570932388,0.014463607221841812,0.027005858719348907,0.019682394340634346,0.0087730148807168,0.04521355777978897,0.36240464448928833,0.7578710317611694,0.9199107885360718,0.006661559920758009,0.018739966675639153,0.7873041033744812,0.04229775071144104
Vol-01 La Fiesta De Buenos Aires,27 Arrabalera.mp3,162.74285888671875,100.81014251708984,4.718596458435059,1.1327959299087524,G,major,0.8485848307609558,0.04905875772237778,0.0022818027064204216,1.6458067893981934,454.99066162109375,0.7538636326789856,4.728264331817627,1138.412353515625,1420.191650390625,11.709700584411621,0.019161367788910866,1402.4765625,0.06746038049459457,0.433454692363739,0.046901885420084,0.007868040353059769,0.5978290438652039,0.08607495576143265,0.2996828854084015,0.00854503083974123,0.058632995933294296,0.030037526041269302,0.003504796652123332,0.011036854237318039,0.3838635981082916,0.002017191145569086,0.0018478863639757037,0.034468911588191986,0.03784771263599396,0.050571829080581665,0.25103750824928284,0.0029184375889599323,0.008560076355934143,0.0018492891686037183,0.01807808317244053,0.02550223097205162,0.06545081734657288,0.010762467049062252,0.0015154596185311675,0.010813259519636631,0.027456453070044518,0.045748427510261536,0.042916785925626755,0.00485975481569767,0.024855010211467743,0.021584875881671906,0.054757628589868546,0.002340014325454831,0.0007211259799078107,0.0026618074625730515,0.19941137731075287,0.01589607261121273,0.027753496542572975,0.005799483507871628,0.003409089520573616,0.04214140400290489,0.015013959258794785,0.004220430739223957,0.02440597303211689,0.0067807650193572044,0.10833664238452911,0.014354302547872066,0.013457175344228745,0.03382818400859833,0.027603380382061005,0.007221827283501625,0.006439534481614828,0.023405909538269043,0.010625946335494518,0.011193869635462761,0.08843493461608887,0.38161081075668335,0.20582129061222076,0.7973489165306091,0.00933150202035904,0.06440035998821259,0.7430387139320374,0.11937996745109558
Vol-01 La Fiesta De Buenos Aires,28 El Torito.mp3,140.4081573486328,97.50296020507812,4.6502461433410645,1.122647762298584,F,major,0.7220290303230286,0.059834711253643036,0.003636363660916686,1.4911916255950928,448.9859313964844,0.6297253370285034,4.76637601852417,1237.785888671875,1935.4649658203125,9.181382179260254,0.0158636923879385,1611.5772705078125,0.0557401105761528,0.4131902754306793,0.05257153511047363,0.007996736094355583,0.5880669355392456,0.07721291482448578,0.3149804472923279,0.0117430305108428,0.03265734761953354,0.03210506588220596,0.0027542172465473413,0.007109797094017267,0.6564734578132629,0.002396846655756235,0.0012236826587468386,0.025905393064022064,0.03989541903138161,0.045738644897937775,0.13867820799350739,0.001909719780087471,0.009916022419929504,0.0021842841524630785,0.008248494938015938,0.01266663521528244,0.04244960471987724,0.007450960576534271,0.0009289555018767715,0.008805536665022373,0.04367870092391968,0.03252469748258591,0.023276636376976967,0.002872426062822342,0.013387784361839294,0.009940562769770622,0.05430041253566742,0.002443202305585146,0.0007983823888935149,0.0017139656702056527,0.1551099568605423,0.007840023376047611,0.010819892399013042,0.005235269200056791,0.002566033508628607,0.017407940700650215,0.00613081268966198,0.002997572999447584,0.011721102520823479,0.003796658245846629,0.16880376636981964,0.01987338252365589,0.009212840348482132,0.038100820034742355,0.01554428692907095,0.0069315312430262566,0.006238686386495829,0.028084510937333107,0.010705419816076756,0.009283719584345818,0.14123927056789398,0.21041737496852875,0.2207365334033966,0.9678853154182434,0.012380423955619335,0.003131686709821224,0.5239238739013672,0.1870763897895813
Vol-02 La Fiesta De Buenos Aires,02 Guapeando.mp3,170.00489807128906,135.32655334472656,3.605532169342041,1.083371639251709,C,major,0.7892276048660278,0.06690333038568497,0.0035499727819114923,1.6254929304122925,446.3999328613281,0.7251482605934143,5.266798973083496,1560.7484130859375,1815.222412109375,10.369657516479492,0.012808132916688919,1951.0948486328125,0.04754814878106117,0.4395551383495331,0.06086999550461769,0.010809149593114853,0.543344259262085,0.13516515493392944,0.30134353041648865,0.00933792069554329,0.016389766708016396,0.009638527408242226,0.001320907031185925,0.0048999059945344925,0.3479807674884796,0.0019945793319493532,0.0010133717441931367,0.027554085478186607,0.026141183450818062,0.021720943972468376,0.20192433893680573,0.002658644923940301,0.01278711948543787,0.0017578833503648639,0.00888096634298563,0.010668929666280746,0.027109364047646523,0.00399157777428627,0.0009769623866304755,0.0032597521785646677,0.014000862836837769,0.05903535708785057,0.022854838520288467,0.003880745265632868,0.02889181300997734,0.014194618910551071,0.03345894068479538,0.0016464560758322477,0.0004523142415564507,0.0012235894100740552,0.1297411322593689,0.005764430854469538,0.019597062841057777,0.003260850440710783,0.0026314030401408672,0.03267226368188858,0.009870685636997223,0.002503792056813836,0.010946142487227917,0.004132322035729885,0.1135592982172966,0.008462546393275261,0.008948314934968948,0.017690468579530716,0.015499046072363853,0.003238596022129059,0.0067442781291902065,0.00927386898547411,0.016885913908481598,0.0036494045052677393,0.05337195098400116,0.3894394338130951,0.296486496925354,0.658066987991333,0.014646713621914387,0.15941838920116425,0.4368731379508972,0.05817316845059395
Vol-02 La Fiesta De Buenos Aires,23 No Me Extraña.mp3,163.94448852539062,135.28382873535156,3.3667547702789307,1.1167627573013306,D,minor,0.8298280835151672,0.057474520057439804,0.0016987542621791363,1.6703238487243652,451.5868835449219,0.7330716252326965,5.088204383850098,1157.4002685546875,1550.55615234375,11.412772178649902,0.016497276723384857,1416.832763671875,0.05615096911787987,0.4245712161064148,0.04677737131714821,0.014236313290894032,0.5766158103942871,0.1130634993314743,0.28610193729400635,0.00998244620859623,0.017605675384402275,0.014337713830173016,0.0013563138199970126,0.004674017895013094,0.5801405310630798,0.002724546007812023,0.000972867535892874,0.025606725364923477,0.029136918485164642,0.030248481780290604,0.1432681530714035,0.0013287076726555824,0.007843096740543842,0.0027115733828395605,0.007700531277805567,0.006246267817914486,0.01337956078350544,0.0037187649868428707,0.0009356398950330913,0.0031547658145427704,0.03490922972559929,0.030704788863658905,0.01652638241648674,0.0023483384866267443,0.014733955264091492,0.00863204337656498,0.045478932559490204,0.0025430317036807537,0.0006533602136187255,0.000975094037130475,0.14073258638381958,0.0043825190514326096,0.009817899204790592,0.0033871205523610115,0.0019337761914357543,0.016796737909317017,0.004057698883116245,0.0018457226688042283,0.012196020223200321,0.003726341761648655,0.11005045473575592,0.015429528430104256,0.008393371477723122,0.02923922799527645,0.012957978993654251,0.003980699926614761,0.007868499495089054,0.014233589172363281,0.020423879846930504,0.004167922772467136,0.018587550148367882,0.24478334188461304,0.45155733823776245,0.8773012757301331,0.014638151973485947,0.09760448336601257,0.2058882713317871,0.04790591448545456
Vol-02 La Fiesta De Buenos Aires,24 Amurado.mp3,149.028564453125,132.91099548339844,3.54246187210083,1.1036051511764526,C#,minor,0.7531490921974182,0.07380878180265427,0.004360012244433165,1.7193506956100464,433.6918029785156,0.7574798464775085,3.7730231285095215,1253.530029296875,1838.7572021484375,13.31152629852295,0.02025478705763817,1597.1015625,0.06868859380483627,0.43092814087867737,0.05133204907178879,0.014449994079768658,0.5323475003242493,0.18753322958946228,0.2537308931350708,0.011938382871448994,0.03247164934873581,0.02217024751007557,0.0023918605875223875,0.005973745137453079,0.5164570212364197,0.003626083256676793,0.0012259141076356173,0.022400353103876114,0.04595501720905304,0.07751055806875229,0.13912934064865112,0.002668173983693123,0.013127128593623638,0.0031661803368479013,0.01314569916576147,0.010120184160768986,0.019027022644877434,0.005090245511382818,0.0016565024852752686,0.005866792984306812,0.033147264271974564,0.037804603576660156,0.024023164063692093,0.004022934008389711,0.014302565716207027,0.015414746478199959,0.05349797010421753,0.004517998546361923,0.0012621496571227908,0.001899795257486403,0.1202121302485466,0.00463674683123827,0.015083136968314648,0.005251422058790922,0.0031712495256215334,0.021103128790855408,0.008840275928378105,0.0034960475750267506,0.011010587215423584,0.005483218468725681,0.11347613483667374,0.013971660286188126,0.014245019294321537,0.030676359310746193,0.024467069655656815,0.006728824228048325,0.0118245929479599,0.017733817920088768,0.014500824734568596,0.008270913735032082,0.046721119433641434,0.33569982647895813,0.3894702196121216,0.7125399112701416,0.017006637528538704,0.14851465821266174,0.22871465981006622,0.15947727859020233
Vol-03 La Fiesta De Buenos Aires,01 El Flete.mp3,179.0955047607422,132.3963165283203,3.4001998901367188,1.0631808042526245,A,minor,0.8299694657325745,0.04043545946478844,0.002851218217983842,1.5785000324249268,435.4489440917969,0.4493579566478729,6.366546154022217,1327.015625,1729.332275390625,10.033315658569336,0.012457706965506077,1746.2454833984375,0.04180219769477844,0.41198238730430603,0.05431840941309929,0.006185505539178848,0.541823148727417,0.18090105056762695,0.2656313180923462,0.005458915140479803,0.017110642045736313,0.009733880870044231,0.0009614478913135827,0.0031900957692414522,0.4839221239089966,0.0018650905694812536,0.0006189900450408459,0.015375586226582527,0.024433651939034462,0.020564185455441475,0.20543062686920166,0.0013109961291775107,0.008207757957279682,0.001380436704494059,0.008209404535591602,0.007616998162120581,0.018197372555732727,0.0032719590235501528,0.0007845110958442092,0.0024017738178372383,0.015567404218018055,0.06414537876844406,0.018923943862318993,0.002886181464418769,0.009999040514230728,0.012893647886812687,0.017434800043702126,0.0011598801938816905,0.00038241944275796413,0.0008410250884480774,0.062087979167699814,0.004185048397630453,0.013105721212923527,0.0019839657470583916,0.001725850161164999,0.027914073318243027,0.008225122466683388,0.0022272563073784113,0.006397965829819441,0.003961910028010607,0.10338426381349564,0.009735861793160439,0.005879087373614311,0.017343563959002495,0.015961723402142525,0.002468423917889595,0.0065556420013308525,0.00745672732591629,0.008464484475553036,0.002845620270818472,0.02302185632288456,0.3536534011363983,0.43055063486099243,0.7812504768371582,0.007851728238165379,0.05463498458266258,0.4909036457538605,0.020380189642310143
