id,title,orchestra,singer,style,year,decade,duration_seconds,file_path,tags,notes,bpm,key,energy,danceability,album,filename
1fa67d03-8d23-507d-b16e-f181e5fe7b86,Asi Me Gusta A Mi,Angel D'Agostino,Angel Vargas,milonga,1942.0,1940s,168.95,data/raw/vol-21 la fiesta de buenos aires/27 asi me gusta a mi.mp3,,,100.0076141357422,D,0.0050213765352964,1.0164011716842651,vol-21 la fiesta de buenos aires,27 asi me gusta a mi.mp3
5ce62a75-7084-5a90-84d7-85a7a5dcb607,Compadreando,Angel D'Agostino,Angel Vargas,milonga,1941.0,1940s,152.95,data/raw/vol-21 la fiesta de buenos aires/28 compadreando.mp3,,,104.22991943359376,D,0.0084151094779372,1.0206866264343262,vol-21 la fiesta de buenos aires,28 compadreando.mp3
648048b8-8d53-54ad-901b-af1c18f4c3cd,En Lo de Laura,Angel D'Agostino,Angel Vargas,milonga,1943.0,1940s,142.36,data/raw/vol-06 la fiesta de buenos aires/26 en lo de laura.mp3,,,99.30154418945312,D,0.0061357822269201,1.0635360479354858,vol-06 la fiesta de buenos aires,26 en lo de laura.mp3
aa41c125-1439-5c43-9e65-9101248b31f6,Entre Copa y Copa,Angel D'Agostino,Angel Vargas,milonga,1942.0,1940s,150.28,data/raw/vol-06 la fiesta de buenos aires/28 entre copa y copa.mp3,,,100.83885192871094,G,0.0053633004426956,1.0791215896606443,vol-06 la fiesta de buenos aires,28 entre copa y copa.mp3
ed820a5a-e298-53ba-9561-6fa9d96aae23,Porque Me Siento Feliz,Angel D'Agostino,Angel Vargas,milonga,1945.0,1940s,151.82,data/raw/vol-06 la fiesta de buenos aires/29 porque me siento feliz.mp3,,,101.40103149414062,C,0.0065085422247648,1.0839030742645264,vol-06 la fiesta de buenos aires,29 porque me siento feliz.mp3
d23c1be2-a65d-51bb-8b16-c7c45a7d047a,Con Permiso,Anibal Troilo,Alberto Marino,milonga,1944.0,1940s,153.0,data/raw/vol-25 la fiesta de buenos aires/26 con permiso.mp3,,,100.4423370361328,E,0.0069637983106076,1.0875046253204346,vol-25 la fiesta de buenos aires,26 con permiso.mp3
31699ea1-1e57-5b6f-8c52-560d29e55adc,El Barrio Del Tambor,Anibal Troilo,Alberto Marino,milonga,1943.0,1940s,155.66,data/raw/vol-25 la fiesta de buenos aires/29 el barrio del tambor.mp3,,,110.0530014038086,E,0.0067631481215357,1.0120757818222046,vol-25 la fiesta de buenos aires,29 el barrio del tambor.mp3
0809569b-81d8-55a7-9fa0-d5fdcba90ee0,Ropa Blanca,Anibal Troilo,Alberto Marino,milonga,1943.0,1940s,171.4,data/raw/vol-25 la fiesta de buenos aires/28 ropa blanca.mp3,,,109.6419448852539,G,0.0044388161040842,0.9684159755706788,vol-25 la fiesta de buenos aires,28 ropa blanca.mp3
e813262a-f3ac-5406-9a05-0e3ec69a49be,Con Toda La Voz Que Tengo,Anibal Troilo,Francisco Fiorentino,milonga,1941.0,1940s,149.4,data/raw/vol-09 la fiesta de buenos aires/27 con toda la voz que tengo.mp3,,,112.64385986328124,D,0.0061868717893958,1.086294651031494,vol-09 la fiesta de buenos aires,27 con toda la voz que tengo.mp3
f25677a0-a6e4-5297-ba3d-736e7afb4de1,Del Tiempo Guapo,Anibal Troilo,Francisco Fiorentino,milonga,1941.0,1940s,144.26,data/raw/vol-09 la fiesta de buenos aires/29 del tiempo guapo.mp3,,,112.26756286621094,G,0.008712837472558,1.078593134880066,vol-09 la fiesta de buenos aires,29 del tiempo guapo.mp3
