id,title,orchestra,singer,year,decade,style,duration_seconds,combo_key,album,filename,bpm,bpm_label,danceability,danceability_label,key,chords_changes_rate,chords_changes_rate_label,energy,energy_label,tags,file_path
d33f0921-c6a2-5e7a-82dd-909e63f000be,Mano Brava,Anibal Troilo,Francisco Fiorentino,1941.0,1940s,milonga,144.16,anibal troilo | francisco fiorentino | milonga,vol-09 la fiesta de buenos aires,28 mano brava.mp3,113.98951721191406,moderate,1.0710192918777466,high,C,0.0777385160326957,high,0.6779202180490295,high,"['strings', 'violin', 'rollicking', 'cheerful', 'fun', 'sweet', 'amiable', 'good', 'natured']",data/raw/vol-09 la fiesta de buenos aires/28 mano brava.mp3
d32339b5-2481-5b92-9f58-6057f72550d7,Soy Un Porteño,Anibal Troilo,Francisco Fiorentino,1943.0,1940s,milonga,188.73,anibal troilo | francisco fiorentino | milonga,vol-36 la fiesta de buenos aires,29 soy un porteño.mp3,109.90399932861328,slow,1.0741833448410034,high,Eb,0.0842958986759185,high,0.9160778902799932,high,"['reggae', 'soundtrack', 'jazz', 'ambient', 'drums', 'experimental', 'humorous', 'silly', 'campy', 'quirky', 'whimsical', 'witty', 'wry', 'party', 'electronic']",data/raw/vol-36 la fiesta de buenos aires/29 soy un porteño.mp3
a2640b28-fa8b-5dd7-b2bf-4ea451e19894,Cuando Un Viejo Se Enamora,Carlos Di Sarli,Roberto Rufino,1942.0,1940s,milonga,127.71,carlos di sarli | roberto rufino | milonga,vol-04 la fiesta de buenos aires,29 cuando un viejo se enamora.mp3,100.38288116455078,slow,1.025680422782898,moderate,C,0.1029731705784797,high,0.5373747460037359,moderate,"['reggae', 'drums', 'popfolk', 'humorous', 'silly', 'campy', 'quirky', 'whimsical', 'witty', 'wry', 'party']",data/raw/vol-04 la fiesta de buenos aires/29 cuando un viejo se enamora.mp3
271258b7-54b9-5eaf-adb7-2cbddb8b9ce7,La Mulateada,Carlos Di Sarli,Roberto Rufino,1941.0,1940s,milonga,143.17,carlos di sarli | roberto rufino | milonga,vol-04 la fiesta de buenos aires,28 la mulateada.mp3,107.3004913330078,slow,1.093627691268921,high,F,0.0604982189834117,low,0.6106759539346067,moderate,"['rollicking', 'cheerful', 'fun', 'sweet', 'amiable', 'good', 'natured', 'party']",data/raw/vol-04 la fiesta de buenos aires/28 la mulateada.mp3
9186cd7c-035f-5324-9f1a-a64c4eca514a,Pena Mulata,Carlos Di Sarli,Roberto Rufino,1941.0,1940s,milonga,147.63,carlos di sarli | roberto rufino | milonga,vol-04 la fiesta de buenos aires,27 pena mulata.mp3,106.04434204101562,slow,1.029761552810669,moderate,Bb,0.042673360556364,low,0.6273505213490151,moderate,"['jazz', 'film', 'drums', 'popfolk', 'rollicking', 'cheerful', 'fun', 'sweet', 'amiable', 'good', 'natured', 'party', 'electronic']",data/raw/vol-04 la fiesta de buenos aires/27 pena mulata.mp3
74b024da-b137-56a0-945a-816cbae63dfa,Rosa Morena,Carlos Di Sarli,Roberto Rufino,1942.0,1940s,milonga,139.86,carlos di sarli | roberto rufino | milonga,vol-12 la fiesta de buenos aires,27 rosa morena.mp3,103.5615463256836,slow,1.0315908193588257,moderate,C,0.0745033100247383,moderate,0.8035499611113681,high,"['jazz', 'film', 'ambient', 'popfolk', 'literate', 'poignant', 'wistful', 'bittersweet', 'autumnal', 'brooding']",data/raw/vol-12 la fiesta de buenos aires/27 rosa morena.mp3
b9c611fd-4155-5304-b93f-e0e9d1d9d318,Yo Soy De San Telmo,Carlos Di Sarli,Roberto Rufino,1943.0,1940s,milonga,141.61,carlos di sarli | roberto rufino | milonga,vol-12 la fiesta de buenos aires,26 yo soy de san telmo.mp3,98.36392974853516,slow,0.9971801042556764,moderate,D,0.0552648790180683,low,0.7292716827920221,high,"['literate', 'poignant', 'wistful', 'bittersweet', 'autumnal', 'brooding']",data/raw/vol-12 la fiesta de buenos aires/26 yo soy de san telmo.mp3
2011d9bb-05cb-56f1-8faf-4c66ea095d20,Zorzal,Carlos Di Sarli,Roberto Rufino,1941.0,1940s,milonga,162.59,carlos di sarli | roberto rufino | milonga,vol-04 la fiesta de buenos aires,26 zorzal.mp3,99.8785629272461,slow,1.003350019454956,moderate,G,0.0840455815196037,high,0.617332391635653,moderate,"['literate', 'poignant', 'wistful', 'bittersweet', 'autumnal', 'brooding', 'party']",data/raw/vol-04 la fiesta de buenos aires/26 zorzal.mp3
5be299e7-de1c-5062-9087-b74dd8fe8dbd,La Milonga De Buenos Aires,Francisco Canaro,Ernesto Famá,1939.0,1930s,milonga,173.09,francisco canaro | ernesto famá | milonga,vol-05 la fiesta de buenos aires,29 la milonga de buenos aires.mp3,106.60382080078124,slow,1.171648621559143,high,C#,0.0478993840515613,low,0.8241628793918441,high,"['popfolk', 'rollicking', 'cheerful', 'fun', 'sweet', 'amiable', 'good', 'natured']",data/raw/vol-05 la fiesta de buenos aires/29 la milonga de buenos aires.mp3
21d4522c-b6fc-5714-8814-1c4176f382bf,Milonga Sentimental,Francisco Canaro,Ernesto Famá,2007.0,2000s,milonga,192.17,francisco canaro | ernesto famá | milonga,vol-11 la fiesta de buenos aires,28 milonga sentimental.mp3,147.4939422607422,very fast,1.1680941581726074,high,F#,0.0453121252357959,low,0.784879675427264,high,"['reggae', 'popfolk', 'rollicking', 'cheerful', 'fun', 'sweet', 'amiable', 'good', 'natured', 'happy', 'party']",data/raw/vol-11 la fiesta de buenos aires/28 milonga sentimental.mp3
